Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.663,74.712,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.770,74.818,74.750,74.789,74.789,74.789,74.789,74.789,74.683,74.721,74.654,74.692,74.683,74.528,74.460,74.450,74.334
,74.663,74.557,74.634,74.673,74.712,74.605,74.644,74.683,74.615,74.654,74.712,74.644,74.644,74.615,74.644,74.673,74.595,74.576,74.576,74.489,74.489,74.343,74.324,74.227,74.120,73.994,73.925
,74.314,74.440,74.411,74.479,74.615,74.605,74.499,74.537,74.537,74.528,74.469,74.363,74.285,74.188,74.120,74.227,74.159,74.062,74.042,73.867,73.740,73.779,73.857,73.760,73.662,73.350,72.595
,73.096,73.643,74.023,74.169,74.198,74.178,74.120,74.062,73.955,73.828,73.818,73.701,73.584,73.252,73.086,73.135,72.998,72.586,72.212,71.857,71.213,70.876,70.995,71.293,71.273,70.727,68.307,

Frame 13,71.709,72.291,72.861,73.203,73.536,73.750,73.955,74.139,74.130,74.227,74.489,74.566,74.654,74.741,74.721,74.808,74.818,74.876,74.837,74.799,74.760,74.789,74.731,74.750,74.712,74.605,74.547
,74.207,74.198,74.392,74.479,74.528,74.508,74.595,74.663,74.654,74.741,74.721,74.779,74.731,74.857,74.847,74.857,74.896,74.905,74.905,74.799,74.799,74.799,74.799,74.692,74.789,74.779,74.750
,74.673,74.663,74.644,74.644,74.721,74.702,74.741,74.741,74.731,74.847,74.828,74.828,74.818,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.857,74.799,74.731,74.683,74.818,74.963
,74.673,74.673,74.673,74.673,74.673,74.673,74.741,74.741,74.741,74.847,74.847,74.847,74.847,74.847,74.847,74.954,74.925,74.896,74.896,74.896,74.896,74.896,74.799,74.634,74.673,74.721,74.828
,74.683,74.683,74.683,74.683,74.789,74.789,74.692,74.799,74.799,74.857,74.857,74.857,74.857,74.857,74.857,74.954,74.954,74.896,74.789,74.808,74.828,74.828,74.741,74.625,74.625,74.625,74.508
,74.595,74.615,74.741,74.741,74.799,74.760,74.741,74.779,74.712,74.770,74.799,74.828,74.828,74.721,74.770,74.760,74.867,74.712,74.702,74.750,74.692,74.692,74.634,74.508,74.537,74.431,74.372
,74.615,74.547,74.673,74.721,74.760,74.654,74.692,74.595,74.586,74.750,74.750,74.721,74.615,74.605,74.586,74.634,74.595,74.586,74.615,74.557,74.440,74.440,74.285,74.217,74.139,73.945,73.848
,74.256,74.353,74.479,74.566,74.586,74.576,74.489,74.479,74.528,74.479,74.411,74.421,74.305,74.130,74.159,74.237,74.159,74.081,74.013,73.916,73.740,73.750,73.760,73.770,73.575,73.370,72.625
,73.096,73.604,73.925,74.169,74.207,74.110,74.042,73.955,73.916,73.809,73.740,73.643,73.536,73.252,73.105,73.115,72.998,72.664,72.330,71.778,71.223,70.906,71.025,71.303,71.293,70.697,68.276,

Frame 14,71.778,72.251,72.821,73.272,73.604,73.711,74.023,74.198,74.237,74.275,74.518,74.654,74.605,74.712,74.818,74.770,74.818,74.799,74.799,74.799,74.808,74.702,74.760,74.712,74.712,74.595,74.537
,74.139,74.275,74.411,74.440,74.499,74.586,74.692,74.644,74.625,74.721,74.721,74.731,74.799,74.857,74.867,74.867,74.867,74.867,74.867,74.867,74.867,74.867,74.760,74.760,74.760,74.760,74.760
